,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
296,Saba Software Inc,20000406,7372,SABA,1,15.0,
297,LivePerson Inc,20000406,7379,LPSN,1,8.0,
298,GoAmerica Inc,20000406,4812,GOAM,1,16.0,
299,Valueclick Inc,20000330,7319,VCLK,1,19.0,
300,ArrowPoint Communications Inc,20000330,3577,ARPT,1,34.0,
301,Hanaro Telecom,20000329,4813,HANA,1,15.51,
302,Telocity Delaware Inc,20000328,7375,TLCT,1,12.0,
303,ARTISTdirect Inc,20000327,7375,ARTD,1,12.0,
304,Websense Inc,20000327,7373,WBSN,1,18.0,
305,ETINUUM INC,20000324,7389,ETIN,1,12.0,
306,Partsbase.com Inc,20000322,7375,PRTS,1,13.0,
307,Blaze Software Inc,20000322,7372,BLZE,1,16.0,
308,Caldera Systems Inc,20000321,7372,CALD,1,14.0,
309,Snowball.com Inc,20000320,7375,SNOW,1,11.0,
310,Netpliance Inc,20000317,7377,NPLI,1,18.0,
311,Integrated Information Systems,20000317,7379,IISX,1,15.0,
312,Universal Access Inc,20000316,4813,UAXS,1,14.0,
313,ImproveNet Inc,20000315,1521,IMPV,1,16.0,
314,Loudeye Technologies Inc,20000315,7371,LOUD,1,16.0,
315,Lastminute.com,20000314,4724,LMIN,1,30.02,
316,Digitas Inc,20000313,8742,DTAS,1,24.0,
317,FairMarket Inc,20000313,7389,FAIM,1,17.0,
318,OTG Software Inc,20000310,7372,OTGS,1,19.0,
319,Selectica Inc,20000309,7372,SLTC,1,30.0,
320,Riverdeep Interactive Learning,20000309,7372,RVDP,1,20.0,
321,HomeGrocer.com,20000309,7375,HOMG,1,12.0,
322,iprint.com Inc,20000307,7375,IPRT,1,10.0,
323,Versata Inc,20000303,7372,VATA,1,24.0,
324,AsiaInfo Holdings Inc,20000302,7373,ASIA,1,24.0,
325,Register.com Inc,20000302,7379,RCOM,1,24.0,
326,Prime Response Inc,20000302,7372,PRME,1,18.0,
327,Switchboard Inc,20000302,7372,SWBD,1,15.0,
328,net.Genesis Corp,20000229,7372,NTGX,1,18.0,
329,Onvia.com Inc,20000229,7375,ONVI,1,21.0,
330,Niku Corp,20000228,7371,NIKU,1,24.0,
331,Avenue A Inc,20000228,7319,AVEA,1,24.0,
332,Hotel Reservations Network Inc,20000225,7389,ROOM,1,16.0,
333,Digitalthink Inc,20000224,7372,DTHK,1,14.0,
334,Carrier1 International SA,20000223,4813,CONE,1,17.483,
335,Inforte Corp,20000217,7373,INFT,1,32.0,
336,Gigamedia Ltd,20000217,7375,GIGM,1,27.0,
337,Choice One Communications,20000216,4813,CWON,1,20.0,
338,Interactive Investor Intl PLC,20000216,6282,IINV,1,24.06,
339,VarsityBooks.com Inc,20000215,5942,VSTY,1,10.0,
340,LendingTree Inc,20000215,7375,TREE,1,12.0,
341,Chordiant Software Inc,20000215,7372,CHRD,1,18.0,
342,b2bstores.com Inc,20000215,7389,BTBC,1,8.0,
343,Sunhawk.com Corp,20000214,2741,SNHK,1,12.0,
344,Savvis Communications Corp,20000214,7375,SVVS,1,24.0,
345,VIA NET.WORKS Inc,20000211,7375,VNWI,1,21.0,
346,Flag Telecom Holdings Ltd,20000211,4899,FTHL,1,24.0,
347,Precis Smart Card Systems Inc,20000210,5045,PCIS,1,6.0,
348,Lightspan Partnership Inc,20000210,8299,LSPN,1,12.0,
349,Lante Corp,20000210,7379,LNTE,1,20.0,
350,webMethods Inc,20000210,7372,WEBM,1,35.0,
351,Pets.com Inc,20000210,5999,IPET,1,11.0,
352,XCarenet Inc,20000209,7374,XCAR,1,18.0,
353,Delano Technology Corp,20000209,8741,DTEC,1,18.0,
354,Fastnet Corp,20000208,7379,FSST,1,12.0,
355,Vicinity Corp,20000208,5999,VCNT,1,17.0,
356,Landacorp Inc,20000208,8741,LCOR,1,10.0,
357,Buy.com Inc,20000207,5734,BUYX,1,13.0,
358,WorldQuest Networks Inc,20000204,4813,WQNI,1,13.0,
359,Emerge Interactive Inc,20000204,7375,EMRG,1,15.0,
360,FirePond Inc,20000204,7372,FIRE,1,22.0,
361,Centra Software Inc,20000202,7371,CTRA,1,14.0,
362,SkillSoft Corp,20000201,7372,SKIL,1,14.0,
363,IMPSAT Fiber Networks Inc,20000201,4899,IMPT,1,17.0,
364,Turnstone Systems Inc,20000201,4813,TSTN,1,29.0,
365,L90 Inc,20000128,7311,LNTY,1,15.0,
366,724 Solutions Inc,20000127,7372,SVNX,1,26.0,
367,HealthGate Data Corp,20000125,7379,HGAT,1,11.0,
368,Neoforma.com Inc,20000124,7389,NEOF,1,13.0,
369,Ondisplay Inc,19991217,7372,ONDS,1,28.0,
370,C-bridge Internet Solutions,19991217,7375,CBIS,1,16.0,
371,Egreetings Network Inc,19991216,2771,EGRT,1,10.0,
372,Xpedior Inc,19991215,7373,XPDR,1,19.0,
373,GRIC Communications Inc,19991215,7375,GRIC,1,14.0,
374,eCollege.com,19991214,7379,ECLG,1,11.0,
375,Healthextras Inc,19991214,8999,HLEX,1,11.0,
376,MotherNature.com Inc,19991210,7375,MTHR,1,13.0,
377,Ebenx Inc,19991210,7389,EBNX,1,20.0,
378,Freemarkets Inc,19991210,7389,FMKT,1,48.0,
379,eSPEED Inc,19991210,7375,ESPD,1,22.0,
380,Plastic Surgery Co,19991210,8741,PSU,1,8.0,
381,MedicaLogic Inc,19991209,7372,MDLI,1,17.0,
382,Preview Systems Inc,19991208,7371,PRVW,1,21.0,
383,NetRatings Inc,19991208,8732,NTRT,1,17.0,
384,Fogdog Sports Inc,19991208,5941,FOGD,1,11.0,
385,Andover.net Inc,19991208,7379,ANDN,1,18.0,
386,AGENCY.COM Ltd,19991208,7372,ACOM,1,26.0,
387,E-Cruiter.com Inc,19991207,7375,ECRU,1,6.0,
388,AirNet Communications Corp,19991207,3663,ANCC,1,14.0,
389,Healthcentral.com Inc,19991207,7375,HCEN,1,11.0,
390,Harris Interactive Inc,19991206,7375,HPOL,1,14.0,
391,PFSweb Inc,19991202,5045,PFSW,1,17.0,
392,McAfee.com Corp,19991202,7375,MCAF,1,12.0,
393,Digimarc Corp,19991202,7372,DMRC,1,20.0,
394,Knot Inc,19991201,7375,KNOT,1,10.0,
395,SmarterKids com Inc,19991123,5945,SKDS,1,14.0,
396,Getthere.Com Inc,19991122,7372,GTHR,1,16.0,
397,Digital Impact Inc,19991122,7375,DIGI,1,15.0,
398,Deltathree Com Inc,19991122,4813,DDDC,1,15.0,
399,Exactis.com Inc,19991119,7375,XACT,1,14.0,
400,Mediaplex Inc,19991119,7372,MPLX,1,12.0,
401,SciQuest.com Inc,19991119,5199,SQST,1,16.0,
402,CacheFlow Inc,19991118,7372,CFLO,1,24.0,
403,Web Street Inc,19991117,6211,WEBS,1,11.0,
404,Terra Networks(Telefonica SA),19991117,4813,TRRA,1,13.41,
405,Retek Inc(HNC Software Inc),19991117,7372,RETK,1,15.0,
406,Rainmaker Systems Inc,19991117,5961,RMKR,1,8.0,
407,Korea Thrunet Co,19991117,7372,KOREA,1,18.0,
408,Virata Corp,19991116,7372,VRTA,1,14.0,
409,Quintus Corp,19991116,7371,QNTS,1,18.0,
410,Netcreations Inc,19991112,7311,NTCR,1,13.0,
411,SonicWALL Inc,19991110,7372,SNWL,1,14.0,
412,ASD Systems Inc,19991110,7389,ASDS,1,8.0,
413,ibasis Inc,19991110,4813,IBAS,1,16.0,
414,Next Level Communications,19991109,3669,NXTV,1,20.0,
415,Netzee Inc,19991109,7375,NETZ,1,14.0,
416,Expedia Inc,19991109,4724,EXPE,1,14.0,
417,WebVan Group Inc,19991104,7375,WBVN,1,15.0,
418,Cobalt Networks Inc,19991104,3669,COBT,1,22.0,
419,Tickets.com,19991103,7922,TIXX,1,12.5,
420,Be Free Inc,19991103,7375,BFRE,1,12.0,
421,Akamai Technologies Inc,19991029,7389,AKAM,1,26.0,
422,Cavion Technologies Inc,19991029,7372,CAVN,1,6.5,
423,Gaiam Inc,19991028,5961,GAIA,1,5.0,
424,Viador Inc,19991026,7372,VIAD,1,9.0,
425,InterTrust Technologies Corp,19991026,7371,ITRU,1,18.0,
426,Sycamore Networks Inc,19991022,7372,SCMR,1,38.0,
